【P3】拿到一个新训练的网络，第一步该做什么诊断？	"先看初始 loss 是否约等于 $\ln 27 \approx 3.29$——这是初始化质量最便宜的体检。
27 类均匀猜测的交叉熵恰好是 $\ln 27$；课程实测 randn 初始化（`W2`、`b2` 都随机）时初始 loss 达 3.7~4.0，教程对比图里极端情况超过 20，说明网络""过于自信""（不同结构实测从 ~4 到 ~27 都有可能——这正是 sanity check 存在的原因）；修正为 `W2 *= 0.01`、`b2 = 0` 后降到 3.29~3.30。
它只查输出层校准，tanh 饱和等隐藏层问题要靠下面的饱和度诊断。"	P3::interview
【P3】tanh 饱和为什么会导致梯度消失？	"当 $|h| > 0.99$ 时 tanh 的导数 $1 - \tanh^2(x)$ 接近 0，梯度在这里被掐断。
课程用 $|h| > 0.99$ 的元素占比统计""饱和比例""，未修正初始化下可以超过 40%；饱和神经元的输出贴着 ±1，反向传播乘上接近 0 的局部梯度，前面的层几乎收不到学习信号。
换成 ReLU 没有 ±1 饱和但会出现""死亡 ReLU""；阈值取 0.95 或 0.999 只改变统计松紧，不改变结论。"	P3::interview
【P3】Kaiming 初始化到底在保证什么？	"让每层激活的方差在前向传播中逐层保持稳定，从源头减少饱和。
课程按 $W = \mathrm{randn} \times (5/3)/\sqrt{fan\_in}$ 初始化，tanh 的增益取 5/3（出自 He et al. 2015 的增益表）；教程实测改用 Kaiming 后初始 loss 从 20+ 回落到 3.29、tanh 饱和比例大幅下降。
引入 BatchNorm 后网络对初始化不再那么敏感（作业题 5 设计了对比实验验证 BN 的鲁棒性），但它仍是所有网络的默认起点。"	P3::interview
【P3】BatchNorm 训练和推理行为有什么不同？最常见的 bug 是什么？	"训练用当前 batch 的均值方差，推理用全程指数移动平均得到的 running 统计量；忘写 `model.eval()` 是头号 bug。
`running_mean/var` 按 EMA 更新，PyTorch 默认 `momentum=0.1`，课程内联实现用 0.999/0.001 的系数（等价 `momentum=0.001`）更平滑；训练初期 running 统计尚未收敛，此时拿去推理会得到有偏差的结果。
batch 太小时 batch 统计噪声大，BN 对小 batch 和序列建模不友好，这正是 LayerNorm 的出发点。"	P3::interview
【P3】BatchNorm 里的 gamma 和 beta 能去掉吗？	"不能，标准化把分布强行拉成零均值单位方差，gamma/beta 给网络留出恢复表达能力的自由度。
前向是 $y = \gamma \hat{x} + \beta$，其中 $\hat{x} = (x-\mu)/\sqrt{\sigma^2 + \epsilon}$（eps 取 1e-5）；去掉它们，该层只能输出固定标准化后的分布。课程同时把 BN 前的 `b1` 置零——BN 的 beta 已覆盖偏置功能，留着只是冗余。
BN 有效性的理论解释（从 internal covariate shift 到平滑损失面）至今有争议，工程上以对比实验为准。"	P3::interview
【P4】说说反向传播的本质，autograd 到底帮你做了什么？	"autograd 就是前向按拓扑序缓存中间结果、反向按逆拓扑序用链式法则累乘局部梯度。
每一步满足""梯度 = 上游梯度 × 局部梯度""；矩阵乘法反传是 $dL/dA = dL/dC \cdot B^T$、$dL/dB = A^T \cdot dL/dC$。课程把 MLP+BN 的前向拆成 12 步逐一手推，并用 `cmp()` 与 autograd 对齐，所有梯度误差小于 $10^{-5}$。
链式法则只覆盖可微算子；一个变量被多处使用时梯度要累加，漏加是手推最典型的错误。"	P4::interview
【P4】写一下 cross_entropy 的反向传播。	"存在一行魔法公式 $\mathrm{dlogits} = (\mathrm{softmax}(logits) - onehot(Y))/n$，把 8 步展开压缩成 3 行代码。
softmax 与交叉熵合并求导后，正确类位置的梯度是 $p - 1$、其余位置是 $p$，再除以 batch 大小 $n$ 对应 mean；课程热力图显示每个样本只有正确类别位置被减 1，其余位置梯度就是 softmax 概率本身。
推导默认 logits 已做减 max 的数值稳定处理，自己从零实现时这一步要一起写。"	P4::interview
【P4】BatchNorm 的反向传播怎么算？公式里的 n/(n-1) 是怎么来的？	"BN 反传有一行简化公式，但系数必须与前向方差口径配套——本课前向用有偏方差 $1/n$，公式中**没有** $n/(n-1)$ 项。
本课前向 `bnvar = bndiff2.mean(0)`（$1/n$ 有偏），对它求导的简化式为 `dhprebn = bngain * bnvar_inv / n * (n*dbnraw - dbnraw.sum(0) - (bnraw*dbnraw).sum(0))`（修复版 `05_batchnorm_backward.py`，对拍 autograd ≈ 9.3e-10）；若前向改用无偏 $1/(n-1)$，才需要多出 $n/(n-1)$ 因子——两种口径各自自洽、混用即错（本课台账 P0 实证）。
该简化式只在 training 模式（batch 统计）下成立；eval 模式下 BN 是用固定统计量的纯仿射变换，梯度形式完全不同。"	P4::interview
【P4】实际工作都直接用 autograd，为什么还要手推梯度？	"因为手推把 autograd 从黑魔法变成可调试的工具，而且 BN/CE 反传本身就是高频面试题。
课程给出四大理由——理解原理、定位梯度异常（NaN/爆炸/不收敛时能定位到具体一步）、支撑 PyTorch 未内置的自定义算子、应对面试；验收方式是把每个手写梯度与 autograd 逐一对比，误差小于 $10^{-5}$ 即正确。
工程日常仍应使用 autograd，手推是理解与排障手段，不是替代品。"	P4::interview
【P4】softmax 前为什么要减 max？这对反向传播有影响吗？	"减 max 利用 softmax 的平移不变性防止 exp 上溢，但它在计算图里是真实节点，反传时会分走梯度。
$e^{z-c}/\sum_j e^{z_j-c}$ 与原式结果完全相同；课程把每行最大值单独存成 `logit_maxes`，autograd 显示它的梯度只落在每行最大值所在的位置。
这是数值技巧而非数学必需；手推时若忽略 logits → logit_maxes 这条分支，得到的梯度会与 autograd 对不上。"	P4::interview
【P5】WaveNet 式的层次化融合，相比直接 flatten 好在哪？	"树状两两融合让感受野按 1→2→4→8 指数增长，参数还更少。
直接 flatten 的第一层 `Linear(80, 200)` 需要 16000 个参数，WaveNet 第一层 `Linear(20, 200)` 只要 4000 个；课程指出 FlattenConsecutive + Linear 本质上等价于膨胀因果卷积（dilated causal convolution）。
融合模式是固定的，灵活性不如 attention——后者一层就能全连接，但代价是 $O(n^2)$。"	P5::interview
【P5】FlattenConsecutive 为什么用 view 而不是 cat？各层 shape 怎么流转？	"view 只改形状不搬数据是 O(1)，cat 要分配并复制内存是 O(n)；T 沿 8→4→2→1 逐层减半。
它把 `(B, T, C)` 重排成 `(B, T/n, C*n)`，课程演示 `(4, 8, 10)` 经 `FlattenConsecutive(2)` 变 `(4, 4, 20)`；最终 `(B, 1, C)` 压成 `(B, C)` 进输出层，课程实现里 T 不整除时直接 assert 报错。
要求 block_size 能被 2 反复整除（课程用 8 = 2 的三次方），非 2 的幂需要截断或调整结构。"	P5::interview
【P5】把 BatchNorm 用在 3D 输入上有什么坑？	"必须在 `dim=(0, 1)` 上同时求统计量，只在 dim=0 上 reduce 是一个不报错的隐藏 bug。
WaveNet 中间层是 `(B, T, C)`，各时间步共享同一组 gamma/beta，统计量也要跨 batch 与时间聚合；`running_mean/var` 始终是 `(C,)`，eval 模式下 3D 输入要把统计量 unsqueeze 两次才能正确广播。
这个 bug 的表现不是报错而是""loss 在降但性能上不去""，只能靠 shape 与统计意识排查。"	P5::interview
【P5】为什么 Linear 层不用改代码就能吃 (B, T, C) 的输入？	"Linear 的仿射变换只作用在最后一维，天然支持任意前置维度。
`(B, T, C) @ (C, out)` 在每个 (b, t) 位置使用同一个权重矩阵——这正是卷积""逐位置共享核""的视角，也让 Linear 能与 FlattenConsecutive 自由组合。
共享权重意味着不同时间步的变换被强制相同，想要位置特化必须显式引入位置信息。"	P5::interview
【P5】这套课程里模型的最好成绩是多少？提升来自哪里？	"dev loss 从 Part 3 深层 BN 的约 2.07 降到放大版 WaveNet 的约 1.99，课程内首次突破 2.0。
课程对照表——深层 BN（Part 3，block 3）约 2.07；WaveNet 小模型（约 22K 参数，block 8）约 2.07；放大到 76,579 参数（`n_embd=24, n_hidden=128`；早期教程误写 ~170K，已按实测修正）后约 2.00。提升来自更长上下文（block 8）；同规模下层次化与直接展平相当，层次化的收益在参数效率与继续放大后显现（审计实测：flat-8 ≈2.106）。
继续加大模型收益递减，字符级任务在 2.0 附近已接近这套框架的实用上限，再往下抠需要换架构或加数据。"	P5::interview
【P6】为什么 scaled attention 要除以 √d_k？不除会怎样？	"除以 $\sqrt{d_k}$ 是为了把 $q \cdot k$ 的方差从 $\approx d_k$ 压回 $\approx 1$，防止 softmax 初始化时就坍缩成 one-hot。
若 q、k 各分量是零均值单位方差的独立项，内积是 $d_k$ 个独立项之和，方差 $\mathrm{Var}(q \cdot k) \approx d_k$，值随维度增大越来越尖锐；softmax 对大值敏感，会把每行推向 one-hot，初始化时每个 token 只聚合一个 token，通信失效。课程实测（作业 6 题 4 的属性测试）：未缩放时 `std ≈ sqrt(head_size)`，缩放后 `std ≈ 1`。
这是""初始化时保持注意力扩散""的论证，训练中学到的权重分布不受此约束；head_size 越小，不缩放的恶果越不明显。"	P6::interview
【P6】causal mask 有几种实现方式？你写过哪几种？	"三种数学等价的写法——for 循环加权平均、tril 矩阵乘法、`masked_fill(-inf)` + softmax，工业标准是第三种。
课程脚本 03 用三种方式实现""过去 token 的加权聚合""并验证等价：v1 逐位置做前缀平均、v2 用下三角矩阵乘法一次算完（两者都是固定权重的平均）、v3 把上三角置 $-\infty$ 再过 softmax（softmax 后未来权重恰为 0）。只有 v3 的权重是数据依赖的（$q k^T$ 亲和力），所以真正的 attention 用 v3。
v1 无法并行，v2/v3 都要物化 $(T, T)$ 权重矩阵；三种写法在课程里只是教学阶梯，v1/v2 不含可学习的通信。"	P6::interview
【P6】Pre-LN 和 Post-LN 有什么区别？为什么现代 Transformer 都用 Pre-LN？	"Pre-LN 把 LayerNorm 放进残差支路（`x = x + sublayer(LN(x))`），残差主干干净直达输入，深层训练更稳，是 GPT-2 起的现代标准；原始论文是 Post-LN。
教程 03 章明确""论文原版是 post-norm，现在更常见的是 pre-norm，本课采用 pre-norm""；课程实测 loss 演进（原视频数字）：+残差 2.08 → +LayerNorm 2.06，GPU 完整超参最终 1.48——残差让梯度""走高速公路""，LN 放在子层入口不阻塞这条主干。
顺序写反（先子层后 LN）就变回 post-norm，教程专门警告""顺序很重要""；本课只在 2 层小网络上验证趋势，pre/post 的深层差异要到很深的网络才显著。"	P6::interview
【P6】多头注意力里每个头都在学什么？	"每个头是一条独立的低维通信通道，各自捕捉一种""话题""（找元音、找位置、找标点……），多头 = 并行多通道。
教程 02 章的表述是""一个头只有一个通信通道，这么多话题挤在 32 维通道里太挤""；实现上 `head_size = n_embd // n_head`，各头输出 `cat` 后再 `proj` 回 `n_embd`（类比分组卷积）。课程实测：原视频多头让 val loss 从 2.4 → 2.28，但 CPU 小规模下单头 ≈2.39 vs 多头 ≈2.45 基本同量级。
多头的收益要在大数据、深网络下才充分显现——面试时别拿小规模数字当成多头无用的证据，教程原话是""看趋势、看结构收益""。"	P6::interview
【P6】模型初始化完、还没训练，loss 应该是多少？	"应接近均匀分布的熵 $\ln V$；tiny Shakespeare 词表 65，即 $\ln 65 \approx 4.17$。
随机初始化下每个词的预测概率接近均匀，交叉熵期望是 $\ln V$；课程实测 bigram 初始 loss ≈ 4.87（随机初始化偏离严格均匀），训练后 ≈ 2.5，一路压到 scale-up 后的 1.48（原视频数字）。这道 sanity check 能当场暴露初始化错误、数据错位或 loss 平均口径问题。
只在""输出接近均匀""的初始化下成立；词表大时 $\ln V$ 本身就大（50K 词表约 10.8），要和同口径的基线比，不能跨模型硬比。 ---"	P6::interview
【P7】RMSNorm 和 LayerNorm 的区别？为什么现代 LLM 都换成了 RMSNorm？	"RMSNorm 只按均方根缩放，砍掉减均值、β 和 bias 三个部件，效果相近但更省更快。
LayerNorm 是 $(x-\mu)/\sqrt{\sigma^2+\epsilon} \cdot \gamma + \beta$，RMSNorm 是 $x/\sqrt{\mathrm{mean}(x^2)+\epsilon} \cdot \gamma$——可学习参数从 γ+β 减到只有 γ（教程 02 章的""三个区别""）。省掉均值中心化不伤表达力：残差结构下均值信息冗余，且可被 attention 权重或后续投影吸收。
省下的参数在小模型上不多（教程以 8 层、hidden 512 为例），真正收益是每层前向/反向各少一次均值计算，规模越大累积越可观。"	P7::interview
【P7】RoPE 为什么能编码相对位置？	"RoPE 把 q/k 按位置旋转一个角度，旋转是正交变换，两个 token 的内积只依赖旋转角之差，而角差恰好等于位置之差。
位置 $m$ 的第 $i$ 维旋转角为 $m\theta_i$，$\theta_i = \mathrm{base}^{-2i/d}$（minimind 取 base $=10^4$，与 Llama 一致）；作业 7 题 3 实测旋转前后范数差 ≈ 0（正交保范数），内积天然只依赖 $m-n$ 而非绝对位置。cos/sin 表由公式生成，`precompute_freqs_cis(end=8192)` 即可外推到训练没见过的长度、零新增参数。
带 KV Cache 时角度必须从 `start_pos` 接着算（教程点名的最易踩坑）；超出训练长度 naive 外推会劣化，需要 NTK/YaRN 类缩放（课程脚本 11 实测）。"	P7::interview
【P7】GQA 到底省了多少？给我算一笔 KV Cache 的账。	"KV 缓存 ≈ $L \times n_{kv} \times T \times d_{head}$，GQA 把 $n_{kv}$ 从 8 压到 4，缓存和 K/V 参数都精确减半。
课程账本（教程 03 章，hidden=512、8 层、8 个 Q 头）：MHA 的 K/V 参数 ≈ 524K、缓存 ≈ 67MB；GQA（4 组）≈ 262K、33MB；MQA（1 组）≈ 65K、8MB。minimind2-small（26M）压得更狠，kv_heads=2。实现核心就是 `repeat_kv` 把每组 K/V 逻辑复制 `n_rep` 份（作业 7 题 4）。
MQA 共享到极限后质量损失明显，GQA 是""接近 MHA 的质量、接近 MQA 的效率""的折中；缓存随 seq_len 线性涨，序列越长省得越多。"	P7::interview
【P7】KV Cache 为什么能把生成从 O(T²) 降到 O(T)？	"历史 token 的 K/V 算一次就永不再变，缓存复用后每步只算新 token 的注意力。
朴素生成第 $t$ 步要对全序列重算 K/V，总代价 $O(T^2)$；缓存后每步只算最后一个 token（教程 03 章：生成 $N$ 个 token 从 $O(N^2 L)$ 降到 $O(NL)$，长文本加速是数量级的）。实现上就是时间维拼接：`torch.cat([past_k, k], dim=2)`（作业 7 题 7 的全部代码量）。
显存开销随长度线性增长（账本见上张 GQA 卡）；缓存里全是历史、无需再遮罩，但 RoPE 的位置必须从 `start_pos` 偏移取，否则新 token 位置算错。"	P7::interview
【P7】SwiGLU 比 ReLU FFN 好在哪？	"把 ReLU 的硬截断换成""软门控""：`down(silu(gate(x)) * up(x))`，gate 学放行多少、up 提供内容，梯度更平滑。
ReLU 在 0 处不可导、负半轴直接归零（激活一旦为负就""死了""，梯度也为 0）；SiLU 平滑可微、负区保留小梯度（教程 03 章），训练更稳。课程约定三个投影全部无 bias、hidden 默认 $4d$（作业 7 题 5），它直接替换 Part 6 那个 512→2048 的 ReLU FFN。
比 ReLU FFN 多一个投影矩阵（三块 vs 两块）的参数与计算；门控的表达力收益在 Part 6/7 的小模型上很难单独测出，属于""现代 LLM 标配""级别的经验共识。 ---"	P7::interview
【P8】SFT 为什么要做 prompt masking？mask 与不 mask 两种口径的 loss 能直接比吗？	"mask 是为了让梯度只流过 response 区域，把模型容量全部花在""学会回答""上；两种口径的 loss 数值不可直接比较。
unmasked（预训练口径）对全序列算 CE，模型会花容量去预测已知的 prompt，甚至学会""复述指令/自问自答""（作业 7 实验 2 的现象级证据）；masked（SFT 口径）只算 $L = \sum \mathrm{CE} \cdot m / \sum m$。教程 02 章实测：masked loss 通常比 unmasked **更大**——因为只看""难的部分""（回答），不看""容易的部分""（复制 prompt）。
mask 必须随 shift 同步对齐（`loss_mask[:, 1:]`，用位置 $t$ 的 logits 预测 $t+1$ 的 token），且分母要 `clamp(min=1)` 防空 response 除零。"	P8::interview
【P8】写出 DPO 的损失函数，β 起什么作用？	"$L = -\log \sigma\big(\beta[(\log \pi_c - \log \pi_r) - (\log \pi_{ref,c} - \log \pi_{ref,r})]\big)$，β 控制对冻结参考模型的信任度——越大越保守。
从 RLHF 目标 $\max \mathbb{E}[r] - \beta \cdot \mathrm{KL}(\pi \| \pi_{ref})$ 出发，最优策略有闭式解，反解出 $r(x,y) = \beta \log \frac{\pi(y|x)}{\pi_{ref}(y|x)} + \beta \log Z(x)$；代回 Bradley-Terry 偏好损失时 $Z(x)$ 在减法中消掉，奖励模型被""消掉""（教程 03 章完整推导）。Sanity check：$\pi = \pi_{ref}$ 时 loss $= \ln 2 \approx 0.693$（作业 8 题 5 验收标准）。
β 太大策略被锁死在 ref 附近学不到东西，β 太小容易偏离过远而退化（reward hacking）；教程经验区间 0.1~0.5，minimind 官方 β=0.15 且 lr 4e-8（建议 ≤5e-8 防遗忘）；DPO 是离线算法，不能从""尝试""中学习。"	P8::interview
【P8】GAE 里的 λ 和 γ 分别控制什么？	"$\gamma\lambda$ 是 bias-variance 旋钮：趋 0 退化为单步 TD error（高 bias、低 variance），趋 1 退化为 Monte Carlo（低 bias、高 variance）。
先算 TD 残差 $\delta_t = r_t + \gamma V(s_{t+1}) - V(s_t)$，再从后往前递推 $A_t = \delta_t + \gamma\lambda A_{t+1}$（作业 8 题 6）；等价形式 $A_t = \sum_l (\gamma\lambda)^l \delta_{t+l}$，指数衰减地加权多步 TD error。课程默认 $\gamma = 1.0$、$\lambda = 0.95$——LLM 生成没有""终止状态""，γ 取 1（教程 04 章）。
GAE 需要价值头提供 $V(s)$，PPO 因此要同时维护 policy/ref/value 三个模型——这正是 GRPO 砍掉价值网络的动机。"	P8::interview
【P8】GRPO 怎么做到不需要价值网络？k3 估计器是什么？	"用同一 prompt 下 G 个回答的组内均值当 baseline、组内标准化当优势，价值网络被""组统计量""替代；KL 用 Schulman 的 k3 估计器。
组内优势 $A = (r - \mathrm{mean}) / (\mathrm{std} + \mathrm{eps})$（按 $(num\_prompts, group\_size)$ reshape 后标准化，作业 8 题 8），同组回答共享 baseline，无需学 $V(s)$——这是 DeepSeek-R1 的选择。k3 估计器 $\mathrm{KL} = e^{d} - d - 1$（$d = \log p_{ref} - \log p_{new}$）三个优点：无偏、恒非负（无需 clamp）、数值稳定（教程 04 章）；课程超参 clip=0.2、kl_coef=0.04。
组内奖励全相同时 std=0、优势全 0，该 prompt 学不到东西；每个 prompt 要采 G 个回答，采样板推理成本乘 G。"	P8::interview
【P8】PPO 的 clip 裁剪在裁什么？	"裁的是重要性采样比率 $\mathrm{ratio} = \exp(\log p_{new} - \log p_{old})$ 的偏离幅度，防止单次策略更新过大。
$\mathrm{surr2} = \mathrm{clamp}(\mathrm{ratio}, 1-\epsilon, 1+\epsilon) \cdot A$，取 $L = -\mathrm{mean}(\min(\mathrm{surr1}, \mathrm{surr2}))$（作业 8 题 7）；ratio 在 $[1-\epsilon, 1+\epsilon]$ 内时 loss 不变，超出才被截断。Sanity check：ratio=1（还没更新）时 $L = -\mathrm{mean}(A)$；优势为正鼓励增大概率、为负鼓励减小概率。课程与 GRPO 沿用 $\epsilon = 0.2$。
裁剪只限制更新幅度、不改变优化方向；ratio 偏离过远的样本梯度被截断，等效于""一次数据只敢用好几次、每次只挪一小步""。"	P8::interview
【P9】coalesced 访存为什么快？能值多少倍？	"一个 warp（32 线程）发起的地址连续时，硬件把它们合并成一次 128 字节事务；地址分散则拆成 32 次独立事务，带宽浪费 32 倍——课程实测差距约 9 倍。
GPU 的内存事务以 warp 为单位（教程 02 章）；课程脚本把线程映射故意写坏再改对，同量计算实测（4090、512³）：L1 uncoalesced 553.6 GFLOPS → L2 coalesced 4844.9 GFLOPS。按行访问时 `col` 相邻 → 地址相邻，天然可合并（x→col 的映射就是为此）。
只对 warp 内连续地址有效，按列/转置访问模式会破坏合并；这也是 cuBLAS""行主序当列主序读 = 读到转置""魔法的原因。"	P9::interview
【P9】shared memory tiling 省了多少全局读？代价是什么？	"全局读从 $2MNK$ 次降到 $2MNK/T$ 次，比率恰为 tile 宽度 $T$；代价是 SMEM 容量受限加上 `__syncthreads()` 屏障开销。
naive 每个输出元素沿 K 读一整行 A + 一整列 B；一个 block 把所需的 A/B 小块一次性搬进 SMEM 后，块内所有线程复用这批数据（作业 9 题 3 的账本对 T=8/16/32/64 验证恒等式）。课程实测（4090、512³）：L2 coalesced 4844.9 → L3 smem tile 5905.4 GFLOPS，继续往 L4/L5 做寄存器复用到 8795.2 GFLOPS。
512³ 的 A/B 加起来才 ~1MB，全被 4090 的 72MB L2 缓存""洗白""，小矩阵上 tiling 优势被掩盖；真实 LLM 的 GB 级权重远超 L2，$1/T$ 的读次数才直接决定速度。"	P9::interview
【P9】FlashAttention 分块之后 softmax 怎么算？为什么结果是精确的？	"用 online softmax 维护滚动状态（当前最大值 m、归一化和 l、累加 acc），新块进来时把历史累加按 $\exp(m_{old} - m_{new})$ 重缩放再继续累加——分块流式算，但与整行 softmax 数学等价、结果精确。
softmax 的分母需要整行的 max 和 sum，tile 装不下整行，就让三个状态跨块传递：每处理一个新 K/V 块，更新 $m$ 与 $l$，历史贡献按新旧 max 之差重缩放（教程 05 章逐步推导，引用 FA1 arXiv 2205.14135）。效果是**从不物化 $(T,T)$ 矩阵**：显存 $O(T^2) \to O(T)$；FA2 进一步减少非 matmul FLOPs，约 2× FA1。
内核复杂度大增、要自管 causal mask 与边界；训练 backward 需要 P 矩阵或重算——本质是用更多 FLOPs 和更复杂的 kernel 换 IO 与显存。"	P9::interview
【P9】Triton 和 CUDA 怎么选？	"CUDA = 标量程序 + 分块线程（线程、tiling、SMEM 全归你管）；Triton = 分块程序 + 标量线程（编译器替你管），长尾融合内核用 Triton，顶级 GEMM 仍给 cuBLAS/CUTLASS。
教程 04 章的对照：一个 softmax CUDA 上百行、Triton ~20 行，且整块加载片上完成、一次写回（kernel fusion 消掉 eager 里 max→exp→sum→div 四个内核的全局内存往返）；课程实测 `triton 0.010 ms vs torch 0.012 ms`。
Triton 隐藏了线程级控制权，写不出 cuBLAS 顶级的 matmul——课程 4090 实测手写 L5 ≈ 8800 vs cuBLAS ≈ 22000 GFLOPS；另外 `@triton.jit` 函数必须定义在模块顶层（嵌套定义报 `NameError: tl is not defined`）。"	P9::interview
